Date,Price,Open,High,Low,Vol.,Change %
"Jan 23, 2015",166.68,166.68,166.68,166.68,0,0.91
"Jan 22, 2015",165.17,165.17,165.17,165.17,0,0.24
"Jan 21, 2015",164.78,164.78,164.78,164.78,0,0.48
"Jan 20, 2015",164,164,164,164,0,-1.13
"Jan 19, 2015",165.88,165.88,165.88,165.88,0,-0.56
"Jan 16, 2015",166.81,166.81,166.81,166.81,0,0.81
"Jan 15, 2015",165.47,165.47,165.47,165.47,0,-0.37
"Jan 14, 2015",166.08,166.08,166.08,166.08,0,0.8
"Jan 13, 2015",164.76,164.76,164.76,164.76,0,1.67
"Jan 12, 2015",162.05,162.05,162.05,162.05,0,-0.02
"Jan 09, 2015",162.08,162.08,162.08,162.08,0,0.19
"Jan 08, 2015",161.78,161.78,161.78,161.78,0,-0.01
"Jan 07, 2015",161.8,161.8,161.8,161.8,0,-0.04
"Jan 06, 2015",161.86,161.86,161.86,161.86,0,-0.19
"Jan 05, 2015",162.17,162.17,162.17,162.17,0,-0.66
"Jan 02, 2015",163.24,163.24,163.24,163.24,0,0.21
"Dec 31, 2014",162.89,162.89,162.89,162.89,0,-0.22
"Dec 30, 2014",163.25,163.25,163.25,163.25,0,0.7
"Dec 29, 2014",162.12,162.12,162.12,162.12,0,0
"Dec 24, 2014",162.12,162.12,162.12,162.12,0,1.9
"Dec 23, 2014",159.1,159.1,159.1,159.1,0,1.43
"Dec 22, 2014",156.86,156.86,156.86,156.86,0,0.43
"Dec 19, 2014",156.19,156.19,156.19,156.19,0,-0.87
"Dec 18, 2014",157.56,157.56,157.56,157.56,0,-1.7
"Dec 17, 2014",160.29,160.29,160.29,160.29,0,-1.28
"Dec 16, 2014",162.37,162.37,162.37,162.37,0,-0.24
"Dec 15, 2014",162.76,162.76,162.76,162.76,0,37.72
"Dec 11, 2014",118.18,163.52,163.52,118.18,0,-28.63
"Dec 10, 2014",165.58,165.58,165.58,165.58,0,-0.76
"Dec 09, 2014",166.85,166.85,166.85,166.85,0,-0.41
"Dec 08, 2014",167.54,167.54,167.54,167.54,0,0.62
"Dec 05, 2014",166.5,166.5,166.5,166.5,0,0.4
"Dec 04, 2014",165.84,165.84,165.84,165.84,0,1.1
"Dec 03, 2014",164.04,164.04,164.04,164.04,0,-0.15
"Dec 02, 2014",164.29,164.29,164.29,164.29,0,0.09
"Dec 01, 2014",164.15,164.15,164.15,164.15,0,0.54
"Nov 28, 2014",163.27,163.27,163.27,163.27,0,-0.31
"Nov 27, 2014",163.77,163.77,163.77,163.77,0,0.46
"Nov 26, 2014",163.02,163.02,163.02,163.02,0,1.07
